"index","State","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present"
1463,"MI",2808,"3/10/16","Loss","Other Portable Electronic Device","No"
1464,"NJ",1654,"3/11/16","Unauthorized Access/Disclosure","Network Server, Other","No"
1465,"CA",726,"3/11/16","Theft","Laptop, Other Portable Electronic Device","No"
1466,"NY",1154,"3/14/16","Hacking/IT Incident","Email","No"
1467,"CA",2373,"3/15/16","Unauthorized Access/Disclosure","Paper/Films","No"
1468,"MI",2200,"3/17/16","Loss","Other Portable Electronic Device","No"
1469,"NY",647,"3/17/16","Unauthorized Access/Disclosure","Email","No"
1470,"NY",773,"3/18/16","Theft","Paper/Films","No"
1471,"TX",2000,"3/18/16","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server","No"
1472,"MT",1124,"3/21/16","Unauthorized Access/Disclosure","Paper/Films","No"
1473,"VA",23000,"3/21/16","Hacking/IT Incident","Email","No"
1474,"NY",2483,"3/22/16","Hacking/IT Incident","Email","Yes"
1475,"TX",524,"3/23/16","Theft","Desktop Computer","No"
1476,"WA",3000,"3/24/16","Hacking/IT Incident","Desktop Computer, Network Server","No"
1477,"IA",15625,"3/25/16","Hacking/IT Incident","Desktop Computer, Email, Network Server","No"
1478,"WI",869,"4/1/16","Unauthorized Access/Disclosure","Network Server","No"
1479,"FL",2000,"4/1/16","Theft","Desktop Computer, Other Portable Electronic Device","No"
1480,"PA",2939,"4/1/16","Unauthorized Access/Disclosure","Other","No"
1481,"CO",540,"4/5/16","Unauthorized Access/Disclosure","Paper/Films","Yes"
1482,"MN",719,"4/5/16","Unauthorized Access/Disclosure","Paper/Films","Yes"
1483,"CA",2426,"4/5/16","Unauthorized Access/Disclosure","Paper/Films","Yes"
1484,"FL",3906,"4/7/16","Theft","Laptop","No"
1485,"NM",7421,"4/7/16","Theft","Paper/Films","No"
1486,"NJ",3563,"4/8/16","Unauthorized Access/Disclosure","Other","No"
1487,"FL",650,"4/12/16","Hacking/IT Incident","Network Server","No"
1488,"FL",532,"4/12/16","Unauthorized Access/Disclosure","Other","No"
1489,"CA",6229,"4/12/16","Theft","Laptop","No"
1490,"CT",1000,"4/12/16","Unauthorized Access/Disclosure","Email","No"
1491,"OK",2664,"4/13/16","Unauthorized Access/Disclosure","Paper/Films","No"
1492,"FL",1076,"4/13/16","Unauthorized Access/Disclosure","Paper/Films","No"
1493,"WI",2734,"4/15/16","Theft","Desktop Computer, Other Portable Electronic Device","No"
1494,"OR",1506,"4/15/16","Hacking/IT Incident","Desktop Computer","No"
1495,"CO",3118,"4/15/16","Unauthorized Access/Disclosure","Laptop, Network Server","No"
1496,"FL",1906,"4/18/16","Unauthorized Access/Disclosure","Email","No"
1497,"WI",1032,"4/19/16","Theft","Laptop","Yes"
1498,"FL",648,"4/20/16","Theft","Paper/Films","No"
1499,"FL",648,"4/20/16","Theft","Paper/Films","No"
1500,"WY",3184,"4/20/16","Hacking/IT Incident","Email","No"
1501,"CA",2451,"4/22/16","Theft","Paper/Films","Yes"
1502,"OH",975,"4/22/16","Loss","Other","No"
1503,"OH",59000,"4/22/16","Unauthorized Access/Disclosure","Other","No"
1504,"OH",23341,"4/23/16","Hacking/IT Incident","Email","No"
1505,"DC",4107,"4/25/16","Unauthorized Access/Disclosure","Network Server","No"
1506,"OK",2199,"4/25/16","Hacking/IT Incident","Email","No"
1507,"MI",981,"4/27/16","Hacking/IT Incident","Network Server","No"
1508,"TX",19898,"4/28/16","Theft","Laptop","No"
1509,"SC",1500,"4/29/16","Unauthorized Access/Disclosure","Paper/Films","No"
1510,"IN",610,"5/1/16","Unauthorized Access/Disclosure","Paper/Films","No"
1511,"FL",1000,"5/4/16","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1512,"MN",5330,"5/4/16","Unauthorized Access/Disclosure","Paper/Films","No"
1513,"FL",87314,"5/5/16","Hacking/IT Incident","Network Server","No"
1514,"IN",7500,"5/9/16","Hacking/IT Incident","Network Server","No"
1515,"IA",1620,"5/11/16","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1516,"FL",500,"5/11/16","Hacking/IT Incident","Electronic Medical Record","No"
1517,"IL",1625,"5/11/16","Unauthorized Access/Disclosure","Email","No"
